id,Brand,Manifacture_Year,Car_Age_2024,Entry_price,Price_2024
0,Abarth_124 Spider_2016,2016,8,115110.8,88793.45
1,Abarth_124 Spider_2017,2017,7,104526.8,89096.7
2,Abarth_124 Spider_2018,2018,6,104526.8,89153.09
3,Abarth_124 Spider_2019,2019,5,115698.8,89047.44
4,Abarth_595_2012,2012,12,68600.0,49329.85
5,Abarth_595_2013,2013,11,69286.0,49401.43
6,Abarth_595_2014,2014,10,56546.0,50151.91
7,Abarth_595_2015,2015,9,56546.0,50193.36
8,Abarth_595_2016,2016,8,56546.0,50234.82
9,Abarth_595_2017,2017,7,56546.0,50276.27
10,Abarth_595_2018,2018,6,59799.6,50203.29
11,Alfa Romeo_159_2006,2006,18,71920.24,8278.01
12,Alfa Romeo_159_2007,2007,17,71873.2,8594.75
13,Alfa Romeo_159_2008,2008,16,71873.2,8910.59
14,Alfa Romeo_159_2009,2009,15,71618.4,9230.49
15,Alfa Romeo_159_2010,2010,14,71618.4,9546.06
16,Alfa Romeo_159_2011,2011,13,79203.6,9766.47
17,Alfa Romeo_159_2012,2012,12,87533.6,10010.44
18,Alfa Romeo_4C_2014,2014,10,175478.8,170139.9
19,Alfa Romeo_4C_2015,2015,9,175478.8,170151.57
20,Alfa Romeo_4C_2016,2016,8,200958.8,169777.45
21,Alfa Romeo_4C_2017,2017,7,204878.8,169792.86
22,Alfa Romeo_4C_2018,2018,6,204878.8,169859.1
23,Alfa Romeo_Brera_2006,2006,18,88482.24,10916.93
24,Alfa Romeo_Brera_2007,2007,17,88482.24,11235.19
25,Alfa Romeo_Brera_2008,2008,16,88482.24,11553.44
26,Alfa Romeo_Brera_2009,2009,15,90755.84,11843.99
27,Alfa Romeo_Brera_2010,2010,14,96922.0,12100.05
28,Alfa Romeo_Brera_2011,2011,13,96922.0,12424.73
29,Alfa Romeo_GT_2004,2004,20,81543.84,5779.89
30,Alfa Romeo_GT_2005,2005,19,83503.84,6085.52
31,Alfa Romeo_GT_2006,2006,18,77369.04,6502.44
32,Alfa Romeo_GT_2007,2007,17,65562.0,7024.22
33,Alfa Romeo_GT_2008,2008,16,65562.0,7341.93
34,Alfa Romeo_GT_2009,2009,15,71802.64,7562.78
35,Alfa Romeo_GT_2010,2010,14,77302.4,7819.38
36,Alfa Romeo_GT_2011,2011,13,77302.4,8148.37
37,Alfa Romeo_Giulia_2016,2016,8,113660.4,116316.72
38,Alfa Romeo_Giulia_2017,2017,7,113660.4,116307.8
39,Alfa Romeo_Giulia_2018,2018,6,116110.4,116248.13
40,Alfa Romeo_Giulietta_2010,2010,14,65914.8,52516.33
41,Alfa Romeo_Giulietta_2011,2011,13,65914.8,52589.89
42,Alfa Romeo_Giulietta_2012,2012,12,68874.4,52499.24
43,Alfa Romeo_Giulietta_2013,2013,11,68874.4,52586.48
44,Alfa Romeo_Giulietta_2014,2014,10,68874.4,52673.72
45,Alfa Romeo_Giulietta_2015,2015,9,70716.8,52689.5
46,Alfa Romeo_Giulietta_2016,2016,8,71540.0,52757.36
47,Alfa Romeo_Giulietta_2017,2017,7,72520.0,52828.2
48,Alfa Romeo_Giulietta_2018,2018,6,76283.2,52845.09
49,Alfa Romeo_MiTo_2009,2009,15,41434.4,33825.14
50,Alfa Romeo_MiTo_2010,2010,14,46138.4,33418.64
51,Alfa Romeo_MiTo_2011,2011,13,46138.4,33515.22
52,Alfa Romeo_MiTo_2012,2012,12,47510.4,33509.43
53,Alfa Romeo_MiTo_2013,2013,11,48784.4,33532.13
54,Alfa Romeo_MiTo_2014,2014,10,48784.4,33644.73
55,Alfa Romeo_MiTo_2015,2015,9,49450.8,33723.45
56,Alfa Romeo_MiTo_2016,2016,8,49450.8,33839.82
57,Alfa Romeo_MiTo_2017,2017,7,50587.6,33912.83
58,Alfa Romeo_MiTo_2018,2018,6,50587.6,34035.4
59,Alfa Romeo_Spider_1998,1998,26,90771.52,24716.11
60,Alfa Romeo_Spider_1999,1999,25,91763.28,24935.95
61,Alfa Romeo_Spider_2000,2000,24,77663.04,25778.07
62,Alfa Romeo_Spider_2001,2001,23,77663.04,26011.66
63,Alfa Romeo_Spider_2002,2002,22,78125.6,26224.62
64,Alfa Romeo_Spider_2003,2003,21,78870.4,26427.92
65,Alfa Romeo_Spider_2004,2004,20,80720.64,26592.42
66,Alfa Romeo_Spider_2005,2005,19,80720.64,26832.01
67,Alfa Romeo_Spider_2006,2006,18,101006.64,26520.63
68,Alfa Romeo_Spider_2007,2007,17,98921.2,26834.48
69,Alfa Romeo_Spider_2008,2008,16,98921.2,27102.11
70,Alfa Romeo_Spider_2009,2009,15,98427.28,27379.1
71,Alfa Romeo_Spider_2010,2010,14,104762.0,27540.3
72,Alfa Romeo_Spider_2011,2011,13,104762.0,27814.87
73,Alfa Romeo_Stelvio_2017,2017,7,132398.0,134916.11
74,Alfa Romeo_Stelvio_2018,2018,6,132398.0,134908.81
75,Aston Martin_DB11_2016,2016,8,618968.0,507036.74
76,Aston Martin_DB11_2017,2017,7,568008.0,507309.16
77,Aston Martin_DB11_2018,2018,6,568008.0,507350.84
78,Aston Martin_DB9_2004,2004,20,406547.12,126009.35
79,Aston Martin_DB9_2005,2005,19,406547.12,126274.73
80,Aston Martin_DB9_2006,2006,18,421639.12,126458.53
81,Aston Martin_DB9_2007,2007,17,433697.04,126670.74
82,Aston Martin_DB9_2008,2008,16,438009.04,126925.35
83,Aston Martin_DB9_2009,2009,15,428691.2,127238.15
84,Aston Martin_DB9_2010,2010,14,471721.04,127356.72
85,Aston Martin_DB9_2011,2011,13,483461.44,127605.15
86,Aston Martin_DB9_2012,2012,12,493673.04,127864.25
87,Aston Martin_DB9_2013,2013,11,493673.04,128151.97
88,Aston Martin_DB9_2014,2014,10,520897.44,128385.2
89,Aston Martin_DB9_2015,2015,9,526777.44,128668.45
90,Aston Martin_DB9_2016,2016,8,552277.04,128926.64
91,Aston Martin_DB9_2017,2017,7,599317.04,129174.22
92,Aston Martin_DB9_2018,2018,6,599317.04,129480.33
93,Aston Martin_DBS_2008,2008,16,630677.04,618378.95
94,Aston Martin_DBS_2009,2009,15,626851.12,618421.72
95,Aston Martin_DBS_2010,2010,14,671837.04,618064.36
96,Aston Martin_DBS_2011,2011,13,671837.04,618095.48
97,Aston Martin_DBS_2012,2012,12,671837.04,618126.6
98,Aston Martin_DBS_2013,2013,11,712260.08,617932.43
99,Aston Martin_Rapide_2010,2010,14,552081.04,308224.15
100,Aston Martin_Rapide_2011,2011,13,571681.04,308297.29
101,Aston Martin_Rapide_2012,2012,12,572884.48,308470.93
102,Aston Martin_Rapide_2013,2013,11,572884.48,308650.38
103,Aston Martin_Rapide_2014,2014,10,572884.48,308829.84
104,Aston Martin_Rapide_2015,2015,9,572884.48,309009.29
105,Aston Martin_Rapide_2016,2016,8,590720.48,309137.4
106,Aston Martin_Rapide_2017,2017,7,590720.48,309323.27
107,Aston Martin_Rapide_2018,2018,6,590720.48,309509.14
108,Audi_A1_2010,2010,14,51312.8,59568.05
109,Audi_A1_2011,2011,13,51312.8,59511.08
110,Audi_A1_2012,2012,12,52390.8,59343.25
111,Audi_A1_2013,2013,11,53253.2,59217.18
112,Audi_A1_2014,2014,10,55115.2,59030.42
113,Audi_A1_2015,2015,9,55115.2,59004.42
114,Audi_A1_2016,2016,8,55115.2,58978.42
115,Audi_A1_2017,2017,7,56742.0,58868.54
116,Audi_A1_2018,2018,6,60309.2,58710.43
117,Audi_A2_2000,2000,24,53978.4,-2111.45
118,Audi_A2_2001,2001,23,51038.4,-1704.79
119,Audi_A2_2002,2002,22,51038.4,-1360.52
120,Audi_A2_2003,2003,21,51038.4,-1016.24
121,Audi_A2_2004,2004,20,49282.24,-637.95
122,Audi_A2_2005,2005,19,49282.24,-295.37
123,Audi_A3_1998,1998,26,58999.92,22119.5
124,Audi_A3_1999,1999,25,58999.92,22328.45
125,Audi_A3_2000,2000,24,58996.0,22537.68
126,Audi_A3_2001,2001,23,56742.0,22913.87
127,Audi_A3_2002,2002,22,56742.0,23115.53
128,Audi_A3_2003,2003,21,56742.0,23317.19
129,Audi_A3_2004,2004,20,56742.0,23518.84
130,Audi_A3_2005,2005,19,58317.84,23622.78
131,Audi_A3_2006,2006,18,58317.84,23829.58
132,Audi_A3_2007,2007,17,57937.6,24057.04
133,Audi_A3_2008,2008,16,57898.4,24264.65
134,Audi_A3_2009,2009,15,56761.6,24526.15
135,Audi_A3_2010,2010,14,61014.8,24542.18
136,Audi_A3_2011,2011,13,62230.0,24712.23
137,Audi_A3_2012,2012,12,64288.0,24864.0
138,Audi_A3_2013,2013,11,67267.2,25006.16
139,Audi_A3_2014,2014,10,71442.0,25143.77
140,Audi_A3_2015,2015,9,71442.0,25384.6
141,Audi_A3_2016,2016,8,73735.2,25587.81
142,Audi_A3_2017,2017,7,73735.2,25833.33
143,Audi_A3_2018,2018,6,79066.4,26019.6
144,Audi_A3_2019,2019,5,84711.2,26229.49
145,Audi_A3_2020,2020,4,88200.0,26473.82
146,Audi_A4_1998,1998,26,66165.68,58754.5
147,Audi_A4_1999,1999,25,66165.68,58792.55
148,Audi_A4_2000,2000,24,62778.8,59288.89
149,Audi_A4_2001,2001,23,68639.2,58575.28
150,Audi_A4_2002,2002,22,68639.2,58626.08
